Default Dataset,,Dataset 1,
X,Y,X,Y
0.4637390438966342,0.000012080247303977098,0.45694531988817116,0.000007262833921387862
0.9511768761586428,0.000009042855760076826,0.965695149512706,0.000011246385251622714
1.5360403097550428,0.000005766695750904907,1.4429997641656434,0.000009873475856198285
1.8776729566684318,0.00000536412680562937,2.1749200571460663,0.000004377396927440546
2.719086040926781,0.000006772717009279529,2.7200403977673058,0.000005213469130199042
3.353195325162243,0.000002832166171315078,3.078086206172059,0.000004709986360959403
4.623465762234348,8.5285317176276e-8,3.4564068054667665,0.000004317380432137439
5.4159716594408955,0.000001584608950617456,4.007403523689131,0.0000017282017166030984
5.937535136710111,0.0000026745939168453733,4.571569451589309,0.0000012194656230569404
6.572703509335906,0.000001039857860669712,5.380085491117074,7.123531115693451e-7
6.834310990849521,7.552867105705372e-7,6.03580646997403,0.0000012930417229260693
7.3280637109524465,6.1627679904324e-7,6.834444231916495,7.443869062773864e-7
7.792196768339755,8.006713260584451e-7,7.373492412258457,6.1449369052878715e-9
8.820482416244142,5.816347551605435e-7,8.151776666391509,0.000001971965621616067
9.250569306631933,2.2285188692286677e-7,8.6756886293781,0.0000013319486718442968
10.375594450470345,4.816049522474129e-7,10.075782859566852,1.5052905695255822e-7
10.767762358765435,0.0000014751204547314286,11.015338440924861,0.0000020311030367668604
12.118578858943037,2.5044160149338843e-7,11.643795994368256,6.92784671250204e-7
13.573336150878928,0.0000015414363386127638,12.006170991660865,8.248535586210107e-7
14.928406405563864,2.3637246220466069e-7,12.9872615472364,3.0256914069315887e-7
16.607732976112825,7.136215041372398e-7,13.677731966245515,0.0000016101644680069358
16.636898720109965,1.9288005136049287e-7,14.593450873265972,1.6675012682757794e-7
18.518162143863865,3.932820977950753e-7,15.054373102449176,1.421160220329418e-7
18.82502072044091,1.8738971294444195e-7,16.722421364898636,0.0000013333288987344733
20.36689044570861,6.030807466268612e-8,17.287619456211857,2.296525052359431e-7
21.119400806815175,3.4014411300948594e-7,17.867739954410247,4.709366586067772e-8
21.31671576896606,1.0478658736931904e-7,18.288541778899877,4.3161811703682735e-8
22.172945706411316,5.858783337293159e-8,18.96056501767584,2.815258901434672e-7
23.191167888423333,1.6931553174839744e-7,19.126147636633565,1.3610301145070853e-7
24.520028185032515,4.8507143192093806e-8,19.42830335354945,1.1431965438820811e-7
25.472129265703547,7.079021371953427e-8,21.290550012458223,2.618376699357617e-7
27.896281375501072,2.581690773358082e-7,22.3482753388329,5.215642144346614e-8
29.54135947404702,2.278508051621236e-8,22.998462052310547,2.695946574108641e-7
32.84595107972344,1.0485811289379903e-7,24.313910050898038,8.305882253479268e-8
34.44684870668838,4.0764406304034414e-8,25.24323929493515,1.874764988179664e-7
37.726585127983896,1.4440621497508316e-7,26.075579792832553,5.8602826818455084e-8
38.66555361880175,4.9974004308904395e-8,28.319315168620133,3.4528456532356507e-7
39.02832103636455,1.4954112787126154e-8,30.260084841112132,1.184612020630666e-8
41.76157589579682,5.696592181511623e-8,32.10333795116584,8.431200027176107e-8
43.81324350126293,1.6801380697199084e-8,33.895916974803065,6.779999568960526e-8
48.737132645281086,5.45483491479287e-8,33.91111935981462,4.853197368091077e-8
50.78576828705769,8.00712302460973e-9,35.26085353212706,3.525054350730519e-8
53.0962009991738,3.140084530319977e-8,35.273917225874605,2.674339731232286e-8
53.235092215977176,4.476963297667357e-9,39.52296098747882,1.2487814996949533e-7
56.50977778659341,2.0903373045952426e-8,40.47348500378702,7.957848651053639e-8
57.07444653228354,3.985898328767643e-9,40.49874278447088,4.997765798820095e-8
58.74295080515935,1.8609636343712036e-8,42.77594461980937,3.049066757024162e-8
62.80787400239481,1.2679936602209742e-7,43.752639353901124,4.7160276959269076e-8
64.80929605004195,8.816786016650678e-8,44.80838094211337,2.8355224757853848e-8
65.96034181311445,1.756162873978268e-8,47.98944621266389,5.53457332997881e-8
71.77445306460278,2.453718370515123e-8,49.47910180781525,6.98417640847047e-8
70.76986008682496,8.999305441191818e-9,51.41839261831855,7.845969273051751e-8
79.99964928668163,1.8085200282031075e-8,54.33713080218137,3.2801716336206376e-8
86.47446244714025,1.1359428080636554e-8,56.95773179319813,1.8340180322738322e-8
91.34751546886184,6.3513901453848405e-9,60.24843491297663,3.761064552523688e-9
97.08959191697782,1.1527867104931498e-8,61.46809064306564,3.8496880135934917e-8
105.02331880963929,4.2286013165721835e-9,65.45051663343452,1.807947170143605e-8
116.86038448404668,1.1039174808635112e-8,68.06354664858706,1.2034966680638285e-8
116.94927105730514,6.26217226722957e-9,69.73988753534489,5.0312244315122686e-9
131.35140656703567,4.891942935924453e-9,70.09702161809744,3.528879166128249e-8
138.51554364834624,9.829877067817289e-9,72.9040849373108,2.152867176879249e-8
152.0798947804579,5.496508073254109e-9,72.37867867563983,1.4968696949017834e-8
176.01432247920235,8.140322277364408e-9,79.9404045259246,3.1421130377262243e-8
190.33062201465103,3.8790511077685884e-9,78.19703739174157,1.3720129362485465e-8
